series,Series,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
SI.POV.GINI,Gini index,,,,,,,,,,27.7,,,,,27.8,,28.8,,,,,,,,,,,25.5,,,
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.57449183788519,7.54952224920051,4.04982084998183,6.18441582172117,8.84575555939531,3.84099115659129,4.82396626555771,3.80397532112175,7.8603814759073,7.92293661199932,7.92343062148318,8.06073257166651,7.6608150670107,3.08669805921981,7.86188883286074,8.49758470221235,5.24131619937695,5.45638755166587,6.38610640094825,7.41022760508854,7.99625378571471,8.25630550179086,6.79538341897911,6.45385134497769,3.87143694070356,-5.77772470686801,9.68959249192875,7.60936497768895,9.19075493028345,6.49476552383821,
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),620.699954330379,654.355928429641,667.598423095039,695.293709344799,742.53920839445,756.704109527449,778.507377528365,793.615912906381,841.278894571674,892.596614581612,947.732565646672,1008.23275343783,1069.24696813025,1086.50605251513,1155.10163274172,1235.15939133951,1281.61054354933,1333.09626557668,1399.4537980287,1484.31640682913,1583.99815907985,1694.46534973825,1788.69770318446,1883.35772705062,1936.03067741067,1806.50110583878,1965.30943437506,2098.2112447615,2270.9051808027,2396.94999213544,
SP.URB.TOTL.IN.ZS,Urban population (% of total population),26.5661772139368,26.7648638746349,26.9696862023486,27.1832515534447,27.4081672842903,27.6470407512523,27.9028652096636,28.1756878910456,28.4660287698,28.7726067228528,29.0945497159107,29.4309857146804,29.7810426848684,30.1438485921815,30.5185314023263,30.9042190810094,31.2746502853309,31.5898935604399,31.9096789235237,32.2288233408821,32.5472990022299,32.8650780972823,33.1821328157539,33.4984353473598,33.8139578818147,34.1286726088333,34.4425517181304,34.7555673994206,35.0676918424186,35.3788972368389,
NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)",28.5998094242024,27.9122703698412,27.8370307633106,27.3030378517565,26.5192933488596,27.3258283775917,26.4877773440307,27.6606541607882,27.4741071211988,29.219106305293,29.5337641914637,30.9272399435883,30.9032382510869,31.1367192409548,31.1213721116744,30.7250782285817,30.1616797630407,29.3985276965289,28.4048995600246,27.6564012026443,27.34739147794,26.6189999399789,26.5000166464804,26.4120919013735,24.5914753075066,25.1229058078344,26.466523606501,25.3845195629461,25.302936496264,24.6285041297852,
SE.SEC.ENRR,"School enrollment, secondary (% gross)",44.9552116394043,44.8827896118164,45.3552589416504,,42.9011917114258,47.1734390258789,46.8245811462402,48.8069381713867,51.4255714416504,53.247371673584,55.9314002990723,56.7859497070312,59.1478385925293,62.2119216918945,61.3603210449219,64.9475936889648,67.1251678466797,69.8089599609375,69.4771270751953,74.8887023925781,74.6113662719727,75.9372863769531,74.6743774414062,76.0025787353516,75.8716506958008,77.6271548412386,80.6246396728944,81.1778608399708,78.8639591218839,78.1058073224606,79.594985086469
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0.594986329567616,0.617479351603705,0.860208959660141,0.625286204187864,0.472644191458928,0.765211694280817,1.05638020993358,1.01156946489919,0.605887857091792,0.765596855110284,0.886098378458823,2.13016842534495,2.07339404668754,3.6205232354017,2.65159033235479,1.6350340943491,2.0020634629993,1.31293453035323,1.5162764665975,1.69565958990806,2.09211521443253,1.9373641224439,1.50731583255894,1.55821483801456,1.78482633957161,2.40620322673636,1.41217101040888,1.49248825904,0.771919134264091,0.694133152879562,
NE.TRD.GNFS.ZS,Trade (% of GDP),22.8674487062499,21.9294878713867,22.6193868670479,23.6994700790647,24.8155980442929,26.9009229104474,25.9932547534365,29.5086629350614,30.592436132908,37.503814059447,42.0016696148691,45.7244804992652,45.686268679348,53.3682204392226,46.2728696428837,49.2552064974161,55.6238800135298,55.7937217287511,53.8441319466777,48.9221857470669,41.9229138658647,40.082485713276,40.7424969545225,43.6169693323889,39.9054035306442,37.7581053292768,45.4230887840446,50.0752701498882,44.9928422877561,44.6492935069676,
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",10.2248861637544,8.97715233826453,7.16425211462724,13.2308389767977,4.66982038037594,4.0094359104519,3.77929312235637,4.29715203929563,3.80585899528851,3.76725173477515,4.24634362031922,5.79652337561634,6.37288135593231,8.34926704907581,10.8823529411764,11.9893899204244,8.91179336483371,9.47899691419801,10.0178784746102,6.66565671867899,4.90697344127256,4.94821634062141,3.32817337461298,3.9388264669163,3.72950573539129,6.62343677628535,5.13140747176369,6.69903414079852,5.64914318907925,4.95303550973656,
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.57,7.537,7.574,7.596,7.583,7.589,7.611,7.681,7.633,7.598,7.551,7.553,7.562,7.629,7.636,7.631,7.609,7.645,7.678,7.656,7.629,7.611,7.626,7.652,6.51,7.859,6.38,4.822,4.172,4.173,4.219
