series,Series,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
SI.POV.GINI,Gini index,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,,,,,,30.9,,,
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.12127789724337,4.52291921684423,4.4898964976265,5.1770268731498,4.67015636882111,5.29329471892532,5.07728777526728,3.83312393993225,4.73956739963045,5.23953291029852,6.53594493875502,6.67190498576788,7.05859935449848,6.01378975738535,5.04512479919337,5.57178818533122,6.46437912497728,6.52145877906443,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,4.22325911250161,
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),537.931946643983,552.077107138767,566.271140847632,584.448175174047,600.232323162952,620.560472822105,641.288922876274,655.672139362272,676.826252046427,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742,1702.08028414189,1804.3493461776,1885.37733613545,1941.27874360025,
SP.URB.TOTL.IN.ZS,Urban population (% of total population),21.661231550566,21.9780786680138,22.2953437419401,22.6195132518384,22.957073677202,23.3145114975244,23.6999214768623,24.1132383547332,24.5525557512625,25.0094809886101,25.4769540701509,25.9479149992596,26.415303779311,26.87206041368,27.3111249057412,27.7254372588696,28.1100162712427,28.4787972894576,28.8407036106763,29.1944442321013,29.5395099477892,29.8753915517965,30.2015798381799,30.5175656009959,30.8228396343012,31.1168927321524,31.3992156886061,31.673734726234,32.1578465036834,32.6783196323307,
NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)",23.5808244521571,21.6839165728619,21.8626700944451,22.6607423702209,22.3758655367007,22.2793826819325,22.5838118742213,22.8392543728467,22.4741487860882,22.7797200060528,23.2998442190711,24.0953205119221,24.5005410079343,24.7270013036793,25.2955721814431,24.9564767264585,25.0452996007551,25.3099593902625,26.3070701636507,26.3110467833576,26.8313948329541,31.0691513830358,31.2482919641603,31.9828135899766,32.8525491977868,32.9115650824449,33.3160943869001,33.9200804971876,34.5942721606063,34.0971743458877,
SE.SEC.ENRR,"School enrollment, secondary (% gross)",,,,41.9298782348633,45.0674591064453,46.7210006713867,48.4609718322754,49.6199493408203,49.5259017944336,46.3084297180176,45.1695098876953,45.7007904052734,46.4658813476562,44.5729598999023,48.1255798339844,49.5031106793162,49.7515496494472,51.6718482971191,55.6214332189314,,59.4217414855957,64.1664546117285,62.3408639225315,65.2714888764112,65.1185413488915,66.4329548486639,66.8282318620991,67.0384586440383,65.9856598598849,64.2997191043961,
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",0.00499837818821925,0.0291349551912919,0.288896567530213,0.380236166897954,0.350304290993083,0.525362089236087,0.145443904569924,0.0955793676464671,0.44596078329809,0.689472335587339,1.17065167448603,0.635863899506714,0.817756922700044,1.4496579161576,0.879517142536145,1.06896766308322,0.983399364184761,1.18850391920183,1.73532012481503,1.46870305074204,1.4507824552936,0.879528340271998,0.616341784631384,0.75354913412869,0.543244141585063,0.407859894856915,0.414118154040593,0.347960024540439,0.335721505298968,0.283870773350074,
NE.TRD.GNFS.ZS,Trade (% of GDP),28.2094960764218,26.0760877233809,26.3255133900833,27.8800634028394,28.3879405571158,29.3217143619038,32.0980170730117,28.9673807211649,27.657884900158,26.8582341492431,34.396934864465,38.1119244325921,39.9423826531735,42.6209140325589,40.092796223023,37.8028426708321,47.4208498356898,48.1109227490467,46.2964027228174,44.5140801968096,42.0859963070382,31.3341501346142,29.9997306724343,32.5146317240884,31.5780544912404,26.271447376215,27.7240047036631,33.7799672705735,30.9829714104596,26.7780758040478,
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",10.2978117947206,2.37712902953223,5.30560105668801,8.40223795613228,6.10669589841958,2.20825620937535,2.0071737421384,3.33256493271912,5.66870773441476,7.58753638504689,7.04661816222038,6.76526117054757,9.10698496905382,8.90194489465153,5.42347236174679,8.12667639169917,11.3951651552399,6.21750422069283,7.53040640913172,6.99163889220848,6.19428022984983,5.51352572692995,5.70207015717238,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921,10.4657482763412,
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.441,2.51,2.698,2.893,3.088,3.27,3.609,3.966,4.32,4.316,4.25,3.591,4.015,4.49,5.0,3.379,3.737,4.07,4.426,4.417,4.397,4.35,4.372,4.439,4.504,5.539,5.457,4.593,3.352,3.635,3.778
