Year;bottom_40_share
1994;0.1157
1995;0.1178
1996;0.1199
1997;0.113
1998;0.1066
1999;0.1078
2000;0.1098
2001;0.112
2002;0.1084
2003;0.1044
2004;0.1027
2005;0.1004
2006;0.104
2007;0.1072
2008;0.1121
2009;0.1143
2010;0.113
2011;0.1141
2012;0.1147
2013;0.1156
2014;0.1135
2015;0.1124
2016;0.1137
2017;0.1147
2018;0.1157
2019;0.1157
2020;0.1157
2021;0.1157
2022;0.1157
2023;0.1157
2024;0.1157
