Year;bottom_40_share
1994;0.1265
1995;0.1267
1996;0.1278
1997;0.1264
1998;0.1256
1999;0.1252
2000;0.1245
2001;0.1218
2002;0.1191
2003;0.1164
2004;0.1136
2005;0.1108
2006;0.108
2007;0.1051
2008;0.1021
2009;0.0992
2010;0.0962
2011;0.0921
2012;0.0904
2013;0.0899
2014;0.0881
2015;0.0871
2016;0.0843
2017;0.0832
2018;0.0864
2019;0.0883
2020;0.0932
2021;0.0927
2022;0.09
2023;0.09
2024;0.09
