Year;bottom_40_share
1994;0.1039
1995;0.1012
1996;0.102
1997;0.1026
1998;0.1036
1999;0.1036
2000;0.1041
2001;0.1048
2002;0.1041
2003;0.1027
2004;0.1033
2005;0.1033
2006;0.1028
2007;0.1018
2008;0.1052
2009;0.1062
2010;0.104
2011;0.1057
2012;0.106
2013;0.1066
2014;0.1076
2015;0.1094
2016;0.1097
2017;0.1096
2018;0.1096
2019;0.1096
2020;0.1096
2021;0.1096
2022;0.1096
2023;0.1096
2024;0.1096
